"","rank","name","year","number_of_user_rating.million","rating"
"143",143,"Room",2015-12-08,0.249351,8.16271772063248
"144",144,"Lock, Stock and Two Smoking Barrels",1998-12-08,0.45473,8.161192866328
"145",145,"Mr. Smith Goes to Washington",1939-12-08,0.085689,8.16043213464544
"146",146,"A Beautiful Mind",2001-12-08,0.690698,8.15807098010006
"147",147,"Casino",1995-12-08,0.372082,8.15759153742539
"148",148,"Blade Runner",1982-12-08,0.547241,8.15557782833692
"149",149,"The Elephant Man",1980-12-08,0.18038,8.14886146512117
"150",150,"V for Vendetta",2005-12-08,0.876266,8.14478768017247
"151",151,"The Wolf of Wall Street",2013-12-08,0.909332,8.14419215401247
"152",152,"Wild Strawberries",1957-12-08,0.07128,8.14409396782113
"153",153,"The General",1926-12-08,0.060651,8.14180493563185
"154",154,"Warrior",2011-12-08,0.369089,8.14032776903652
"155",155,"Dial M for Murder",1954-12-08,0.121899,8.13318708334773
"156",156,"Trainspotting",1996-12-08,0.537126,8.13290773713847
"157",157,"Gran Torino",2008-12-08,0.61613,8.12765446867969
"158",158,"Gone with the Wind",1939-12-08,0.238069,8.12595831479769
"159",159,"The Deer Hunter",1978-12-08,0.257318,8.12413402256591
"160",160,"Sunrise",1927-12-08,0.034446,8.12383301262928
"161",161,"The Sixth Sense",1999-12-08,0.77466,8.12319270386198
"162",162,"Fargo",1996-12-08,0.506697,8.12297283112862
"163",163,"The Thing",1982-12-08,0.292542,8.12180323342553
"164",164,"No Country for Old Men",2007-12-08,0.687901,8.12162583222405
"165",165,"Andrei Rublev",1966-12-08,0.028897,8.12114891456491
"166",166,"The Big Lebowski",1998-12-08,0.599767,8.11878549955962
"167",167,"Finding Nemo",2003-12-08,0.781094,8.11836228997103
"168",168,"Tokyo Story",1953-12-08,0.033362,8.11599671554766
"169",169,"The Bandit",1996-12-08,0.044556,8.11579008233572
"170",170,"There Will Be Blood",2007-12-08,0.417693,8.11373895040942
"171",171,"Cool Hand Luke",1967-12-08,0.132036,8.11143376805711
"172",172,"Come and See",1985-12-08,0.032913,8.10987428153071
"173",173,"Rebecca",1940-12-08,0.097683,8.10860975110085
"174",174,"Hacksaw Ridge",2016-12-08,0.27968,8.10716281913128
